pathway	external_id	source	ensembl_ids
Ribosome biogenesis in eukaryotes - Saccharomyces cerevisiae (budding yeast)	path:sce03008	KEGG	YLR293C,YGR090W,YLR022C,YDL208W,YHR072W-A,YBR257W,YMR093W,YBR167C,YOR039W,YNL207W,YGR128C,YDR449C,YBL018C,YDR398W,YDL014W,YOR061W,YCL031C,YLL034C,YJR002W,YDR339C,YNR053C,YGL099W,YAL033W,YGR218W,YML093W,YPL169C,YNL132W,YLR222C,YHR148W,YNL282W,YNL221C,YKL186C,YEL026W,YLR197W,YNL075W,YOR185C,YLR129W,YPL093W,YHR089C,YER006W,YOR119C,YPL043W,YOR056C,YIL035C,YLR409C,YLR397C,YLR059C,YJL069C,YOR310C,YHR170W,YLR175W,YPL217C,YLR186W,YGL019W,YGR030C,YMR239C,YCR057C,YGL173C,YLR106C,YHR062C,YDR478W,YDL166C,YLR145W,YOL010W,YHR196W,YPR016C,YGR276C,YDR324C,YPL204W,YPL126W,YLR107W,YOR048C,YJL109C,YNL163C
C5-Branched dibasic acid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00660	KEGG	YMR108W,YCL009C,YCL018W
Nitrogen metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00910	KEGG	YNL036W,YPR035W,YAL062W,YIL164C,YJR149W,YDL171C,YOR375C,YDL215C
Riboflavin metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00740	KEGG	YAR071W,YDR236C,YBR153W,YHR215W,YOL066C,YBR092C,YBL033C,YBR256C,YPR073C,YDL045C,YBR093C,YOL143C,YDL024C,YDR487C
Galactose metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00052	KEGG	YMR278W,YGL253W,YBR299W,YIL172C,YMR205C,YJL216C,YKL035W,YKL127W,YBR020W,YGR240C,YLR446W,YBR018C,YGR287C,YOL157C,YFR053C,YIL162W,YMR105C,YCL040W,YDR516C,YDR009W,YGR292W,YHL012W,YJL221C,YBR019C
Ascorbate and aldarate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00053	KEGG	YOR374W,YMR318C,YBR149W,YMR110C,YML086C,YMR170C,YMR169C,YMR041C,YCR105W,YPL061W,YER073W
Ubiquitin mediated proteolysis - Saccharomyces cerevisiae (budding yeast)	path:sce04120	KEGG	YDR118W,YER125W,YPR066W,YBR082C,YFL009W,YOR249C,YLL036C,YEL012W,YKR094C,YDR390C,YPL046C,YJR090C,YDR457W,YDR059C,YKL210W,YGR003W,YOL013C,YDR409W,YIL046W,YGL240W,YLR306W,YKL010C,YDR054C,YLR127C,YBL084C,YGL116W,YKL022C,YPR180W,YDR328C,YDL008W,YHR166C,YDL064W,YNL172W,YDR030C,YGL141W,YGL003C,YOR339C,YDR260C,YDR092W,YIL148W,YDL132W,YMR022W,YGL058W,YER100W,YDL190C,YFR036W,YLR102C,YOL133W,YLL039C,YDR177W,YLR167W
Fructose and mannose metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00051	KEGG	YIL107C,YJL155C,YKL060C,YCL040W,YMR205C,YNR073C,YJR159W,YGL253W,YLR377C,YGR240C,YEL070W,YFL045C,YOL136C,YLR446W,YFL053W,YER003C,YDR050C,YDR516C,YLR345W,YML070W,YDL246C,YDL055C,YFR053C
Histidine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00340	KEGG	YOR374W,YER055C,YCL030C,YMR110C,YMR169C,YFR025C,YIL020C,YOR202W,YMR170C,YIL116W,YPL061W,YER073W,YBR248C,YNL092W
Longevity regulating pathway - multiple species - Saccharomyces cerevisiae (budding yeast)	path:sce04213	KEGG	YDR096W,YJL005W,YPL149W,YDR258C,YDR347W,YPL203W,YBL075C,YGL037C,YNL330C,YLL026W,YGL115W,YJL164C,YLL024C,YOR101W,YDL042C,YAL005C,YDR256C,YNL209W,YKL166C,YDL035C,YJR104C,YHR008C,YER103W,YOL068C,YMR037C,YDR191W,YOR025W,YGR088W,YJR101W,YHR205W,YKL203C,YNL098C,YPL015C,YJR066W,YDL229W,YKL062W,YFL033C,YHR186C
