pathway	pval	padj	log2err	ES	NES	size
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Reactome	0.25500165800817953	0.56663673040787	0.026348933355547877	-0.3485223954959168	-1.1574064580210859	50
Adaptive Immune System | Reactome	0.9862671660424469	0.9862671660424469	0.033310848237735224	0.1507020745626431	0.5869985881303028	25
Alanine, aspartate and glutamate metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.011873031257572086	0.11442116037278456	0.1453927802364807	-0.565600789464349	-1.6232985714625767	22
Amino acids regulate mTORC1 | Reactome	0.0686773730251991	0.337663750707229	0.06125857102815924	-0.5802768721323055	-1.4373235957461319	12
Amino sugar and nucleotide sugar metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.1555352241537054	0.46725149690384	0.07695815920914909	0.38452873523289943	1.2627416835428995	14
Aminoacyl-tRNA biosynthesis - Saccharomyces cerevisiae (budding yeast) | KEGG	0.008490217792543374	0.09392303433001108	0.17371321926215616	-0.6007530583845387	-1.6652711342395672	19
Antigen processing: Ubiquitination & Proteasome degradation | Reactome	0.703816406745277	0.8129040955127912	0.012917475091151247	-0.31705639548869186	-0.8296439251539891	15
Arginine and proline metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.6696542893725992	0.8129040955127912	0.03344927511933871	0.27043312416899146	0.8437746121637162	12
Arginine biosynthesis - Saccharomyces cerevisiae (budding yeast) | KEGG	0.0019903359715273752	0.029357455580028786	0.4317076958033464	-0.6995945490145836	-1.8018928522907702	14
Asparagine N-linked glycosylation | Reactome	0.6494646938530013	0.8129040955127912	0.013319883765850235	-0.3051602599543789	-0.8835087615612203	23
Autophagy - yeast - Saccharomyces cerevisiae (budding yeast) | KEGG	0.3103322380430814	0.6462212486308873	0.024662860800711336	-0.39751158688691235	-1.1289545861869892	21
Autophagy | Reactome	0.5984928609201481	0.8129040955127912	0.015864807783004607	-0.3752059777989365	-0.9097364352677777	11
Biological oxidations | Reactome	0.5027447392497713	0.8129040955127912	0.041068366529457286	0.29002879332348297	0.9524163299145727	14
Cap-dependent Translation Initiation | Reactome	0.08947588223011067	0.38627393060316073	0.04713766655556934	-0.35476336851115975	-1.2733306414655263	94
Cell Cycle | Reactome	0.27437555471028274	0.5976306137602911	0.027457446786596337	-0.44663333469399935	-1.1687089053321458	15
Cell Cycle, Mitotic | Reactome	0.3680910951893552	0.7005604714894179	0.0227035330047586	-0.41978468027312116	-1.081207702305204	14
Cellular response to starvation | Reactome	0.0686773730251991	0.337663750707229	0.06125857102815924	-0.5802768721323055	-1.4373235957461319	12
Cellular responses to external stimuli | Reactome	0.43737869619819614	0.751611934243502	0.018309586173802083	-0.32662547741385145	-1.0315819802165958	36
Cellular responses to stress | Reactome	0.43737869619819614	0.751611934243502	0.018309586173802083	-0.32662547741385145	-1.0315819802165958	36
Citrate cycle (TCA cycle) - Saccharomyces cerevisiae (budding yeast) | KEGG	5.882288939180461e-5	0.0013782561898817987	0.557332238758646	0.5928946488651204	2.2557254679473266	23
Citric acid cycle (TCA cycle) | Reactome	3.948249858349156e-5	0.0013015050775214581	0.557332238758646	0.7625803906819681	2.4495145341657443	13
Class I MHC mediated antigen processing & presentation | Reactome	0.8248963698027886	0.8902844966774	0.01043270319490264	-0.2743318639611231	-0.7298085561599544	16
Clathrin-mediated endocytosis | Reactome	0.7970770822555613	0.8872950597324247	0.011385122293811986	-0.29889952473231507	-0.7540322643009808	13
Cysteine and methionine metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.0022530534803747184	0.030676189694332702	0.3350685587170139	-0.5955495970522543	-1.7700821947875878	26
Cytokine Signaling in Immune system | Reactome	0.8236402462002261	0.8902844966774	0.010455846999992519	-0.2747201681288318	-0.7308415666892255	16
DNA Repair | Reactome	0.38512089274643524	0.7168106239425146	0.021496365992353047	-0.39162029544203625	-1.072038935889361	18
Deubiquitination | Reactome	0.42796658656596864	0.7500008497245193	0.01866718205447515	-0.33032413439240393	-1.0384989104105986	35
Dual incision in TC-NER | Reactome	0.1168116683725691	0.42195235310091284	0.04552829436809804	-0.5199082894049168	-1.3390885218373996	14
ER to Golgi Anterograde Transport | Reactome	0.894111502807155	0.9310961388960871	0.009789480506929	-0.26337954083337445	-0.6523810388746242	12
ESR-mediated signaling | Reactome	0.5615459171310879	0.8129040955127912	0.015523425844196874	-0.3292325149471028	-0.9449114660868954	22
Endocytosis - Saccharomyces cerevisiae (budding yeast) | KEGG	0.3399050748448339	0.68367270735835906	0.023177920921644144	-0.38945771571563553	-1.1060811528197279	21
Estrogen-dependent gene expression | Reactome	0.3394981893429902	0.68367270735835906	0.024185264637211705	-0.439306096054786	-1.108235185807245	13
Eukaryotic Translation Initiation | Reactome	0.08947588223011067	0.38627393060316073	0.04713766655556934	-0.35476336851115975	-1.2733306414655263	94
Fatty acid degradation - Saccharomyces cerevisiae (budding yeast) | KEGG	0.4971287940935193	0.8129040955127912	0.038857216836156526	0.3163296656498963	0.9519952182734004	11
Fatty acid metabolism | Reactome	0.22334004024144868	0.5569407314943291	0.06696957865216217	0.33573014998536327	1.1711334330813852	17
Formation of TC-NER Pre-Incision Complex | Reactome	0.1168116683725691	0.42195235310091284	0.04552829436809804	-0.5199082894049168	-1.3390885218373996	14
Formation of a pool of free 40S subunits | Reactome	0.1266010373663597	0.4227996908272767	0.0391519644289041	-0.3520509146701234	-1.2414623962571962	80
Formation of the ternary complex, and subsequently, the 43S complex | Reactome	0.25162011173184357	0.56663673040787	0.026763969858524375	-0.35496786665124375	-1.159719732323691	45
Fructose and mannose metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.1717537506466632	0.47500646663217794	0.03687491928535071	-0.5042076496344079	-1.2719619948281726	13
GPCR downstream signalling | Reactome	0.2342214174857734	0.5657495832725076	0.03068360345773801	-0.4774884850383804	-1.2045576983555824	13
GTP hydrolysis and joining of the 60S ribosomal subunit | Reactome	0.12502639915522704	0.4227996908272767	0.039376757992688555	-0.3524194362503	-1.244895107291413	81
Gap-filling DNA repair synthesis and ligation in TC-NER | Reactome	0.1168116683725691	0.42195235310091284	0.04552829436809804	-0.5199082894049168	-1.3390885218373996	14
Gene expression (Transcription) | Reactome	0.6097935103244838	0.8129040955127912	0.013951851194277755	-0.30418978290459103	-0.9104119610956667	27
Generic Transcription Pathway | Reactome	0.8070875967057649	0.8872950597324247	0.010662702226630447	-0.2747729215871103	-0.7421152888927603	17
Gluconeogenesis | Reactome	0.050370174510840825	0.307431754773063	0.07253936631991478	-0.6098873304442454	-1.478752362017676	11
Glucose metabolism | Reactome	0.061909377271625876	0.337663750707229	0.06220121123214926	-0.4949686780854575	-1.4205813765143063	22
Glutathione metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.862569355527102	0.9197275658331148	0.02867052823766067	0.2264289953264274	0.70647794459819	12
Glycerolipid metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.4245505269683819	0.7500008497245193	0.01999596806302961	-0.3818812106806616	-1.0453787290879346	18
Glycerophospholipid biosynthesis | Reactome	0.5478530781169167	0.8129040955127912	0.01683104158523599	-0.3741126509685879	-0.9437720236126853	13
Glycerophospholipid metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.7072724898811855	0.8129040955127912	0.013271701691408606	-0.333082164653609	-0.8250317694372528	12
Glycine, serine and threonine metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.01538647928277199	0.12379121968412009	0.12745704201113045	-0.5552356071943048	-1.5935500529220583	22
Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast) | KEGG	0.029569585569128896	0.20935266582943257	0.08856399378587741	-0.4702643615691359	-1.4852369912286876	36
Glycolysis | Reactome	0.03211517165005537	0.21863020700230001	0.08821430618535028	-0.5468739698367003	-1.5159197665759148	19
Glyoxylate and dicarboxylate metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.25036746692797646	0.56663673040787	0.06220121123214926	0.33470696202333705	1.144330238483543	16
Hemostasis | Reactome	0.3470267528844935	0.6864434800578632	0.023504654410167688	-0.42067884667685645	-1.100793595562996	15
Histidine metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.08323281061519903	0.3777489097151341	0.05609112596238862	-0.5940024601292285	-1.4014006756700808	10
Immune System | Reactome	0.6872150849564858	0.8129040955127912	0.010280425568496811	-0.24894471981186914	-0.9033623824573466	105
Innate Immune System | Reactome	0.6025788866757522	0.8129040955127912	0.012410002877748356	-0.2644142304569533	-0.9425885496608148	88
Insulin receptor recycling | Reactome	0.0686773730251991	0.337663750707229	0.06125857102815924	-0.5802768721323055	-1.4373235957461319	12
Interleukin-17 signaling | Reactome	0.7031229057767056	0.8129040955127912	0.013735532335406014	-0.3515935422102102	-0.8294972844176958	10
Intracellular signaling by second messengers | Reactome	0.9451710261569416	0.9726469280801086	0.029997811271215737	0.18505125737407624	0.6455175811704048	17
Iron uptake and transport | Reactome	0.0686773730251991	0.337663750707229	0.06125857102815924	-0.5802768721323055	-1.4373235957461319	12
L13a-mediated translational silencing of Ceruloplasmin expression | Reactome	0.09414598387265682	0.3967580748919109	0.04591694994335832	-0.35407612493785123	-1.2668560555227497	92
Longevity regulating pathway - multiple species - Saccharomyces cerevisiae (budding yeast) | KEGG	0.6916645869727976	0.8129040955127912	0.012938408592138254	-0.31078654679214945	-0.8393820126977852	17
Lysine biosynthesis - Saccharomyces cerevisiae (budding yeast) | KEGG	1.052261056368732e-5	6.208340232575519e-4	0.5933254763964051	-0.8606896551724138	-2.0305826074162394	10
Lysine degradation - Saccharomyces cerevisiae (budding yeast) | KEGG	0.6977616941428763	0.8129040955127912	0.013846077591699524	-0.353191441846894	-0.8332671301351942	10
MAP kinase activation | Reactome	0.7031229057767056	0.8129040955127912	0.013735532335406014	-0.3515935422102102	-0.8294972844176958	10
MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast) | KEGG	0.5104790419161677	0.8129040955127912	0.01616921446701562	-0.31443162117230267	-0.9828020804755527	34
Macroautophagy | Reactome	0.5984928609201481	0.8129040955127912	0.015864807783004607	-0.3752059777989365	-0.9097364352677777	11
Meiosis - yeast - Saccharomyces cerevisiae (budding yeast) | KEGG	0.0416	0.2629714285714285	0.16324176812787977	0.43224482517272556	1.5568448261904233	19
Membrane Trafficking | Reactome	0.6264283289964928	0.8129040955127912	0.012954126138543685	-0.28200593092289705	-0.9073727790753344	41
Metabolism of RNA | Reactome	0.2802448640796846	0.5976306137602911	0.02371936279329267	-0.30869869051215937	-1.1161216023538525	101
Metabolism of amino acids and derivatives | Reactome	0.01917839310031775	0.1414406491148434	0.11020061442674668	-0.4759657162723467	-1.5164927193192606	38
Metabolism of carbohydrates | Reactome	0.6170786516853932	0.8129040955127912	0.01307248958331156	-0.2819405552278569	-0.9145365757640768	43
Metabolism of lipids | Reactome	0.7867901372308379	0.8872950597324247	0.009329541743462993	-0.2434857964940247	-0.800274930368127	47
Metabolism of nucleotides | Reactome	0.7951637666325486	0.8872950597324247	0.011260324068758725	-0.29388377604325394	-0.7569342502774732	14
Metabolism of proteins | Reactome	0.492784337470986	0.8129040955127912	0.014770414919114789	-0.26661384914212993	-1.0062651457091178	178
Metabolism of steroids | Reactome	0.35304870087478785	0.6866991214817302	0.023701327139342688	-0.44402301573847225	-1.099828010084381	12
Metabolism of vitamins and cofactors | Reactome	0.6466156421908634	0.8129040955127912	0.013298451461989581	-0.3025147702764513	-0.8841959826001584	24
Metabolism of water-soluble vitamins and cofactors | Reactome	0.3490390576565406	0.6864434800578632	0.023051896378126727	-0.4020311508750022	-1.1005380778131908	18
Metabolism | Reactome	0.8474150070408368	0.9090451893710795	0.006239786360975694	-0.21998736076525335	-0.8350010460174521	198
Methane metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.06111322429314061	0.337663750707229	0.06414475010545988	-0.5508673426403556	-1.4414588410458111	15
Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast) | KEGG	0.396878198567042	0.7168106239425146	0.021516461905381135	-0.41007394708396666	-1.0561965001043196	14
MyD88 cascade initiated on plasma membrane | Reactome	0.7031229057767056	0.8129040955127912	0.013735532335406014	-0.3515935422102102	-0.8294972844176958	10
MyD88 dependent cascade initiated on endosome | Reactome	0.7031229057767056	0.8129040955127912	0.013735532335406014	-0.3515935422102102	-0.8294972844176958	10
MyD88-independent TLR4 cascade  | Reactome	0.7031229057767056	0.8129040955127912	0.013735532335406014	-0.3515935422102102	-0.8294972844176958	10
MyD88:MAL(TIRAP) cascade initiated on plasma membrane | Reactome	0.7031229057767056	0.8129040955127912	0.013735532335406014	-0.3515935422102102	-0.8294972844176958	10
Neutrophil degranulation | Reactome	0.7214808437365475	0.8238845763959284	0.01011747984072407	-0.25040547825902276	-0.8637648123927528	66
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) | Reactome	0.13965716689452098	0.44944215527873116	0.03687491928535071	-0.34483562205466184	-1.2255370236498397	86
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) | Reactome	0.11515024164740492	0.42195235310091284	0.04113148940036243	-0.3521366284919369	-1.2505242411235638	85
Nonsense-Mediated Decay (NMD) | Reactome	0.13965716689452098	0.44944215527873116	0.03687491928535071	-0.34483562205466184	-1.2255370236498397	86
Nucleocytoplasmic transport - Saccharomyces cerevisiae (budding yeast) | KEGG	0.6009292720702116	0.8129040955127912	0.039758766346791485	0.25450762829403606	0.9004652336413219	18
