pathway	pval	padj	log2err	ES	NES	size
3-phosphoinositide biosynthesis | YeastCyc	0.10855201057202189	0.30720928482147375	0.058436248184975975	-0.5708259626158115	-1.3781925561212607	12
4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis | YeastCyc	0.006041155370964697	0.03846794522981932	0.25663501697244306	-0.7315766942884225	-1.7663064056858564	12
ABC transporters - Saccharomyces cerevisiae (budding yeast) | KEGG	0.8560535614655012	0.9991137253761779	0.015623675923678505	-0.2658113596729874	-0.7142158886579594	18
ABC-family proteins mediated transport | Reactome	0.9206499149820517	1	0.014800001687396366	-0.25813591867835456	-0.6360673700028667	13
APC/C-mediated degradation of cell cycle proteins | Reactome	0.5289870460819707	0.7871181819707673	0.02505188292858877	0.36860161517660606	0.9410221580458504	13
Ac/N-end rule pathway | YeastCyc	0.946067898581865	1	0.016267860705772495	0.23878163954047027	0.5778232769912183	11
Activation of ATR in response to replication stress | Reactome	0.06796299792335284	0.2432064305852213	0.0747093797274478	-0.6042623510915717	-1.458920807320105	12
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Reactome	0.923556194584232	1	0.01822080687069813	0.19946793924374095	0.7513890860612804	70
Activation of the pre-replicative complex | Reactome	1.351053234389162e-4	0.0017727456075469913	0.5188480777437918	-0.6554834821536618	-1.9722231252991738	29
Acyl chain remodelling of PS | Reactome	0.5785727664356621	0.8354034264590887	0.021582002628673908	-0.39468225549285285	-0.9082198210426823	10
Adaptive Immune System | Reactome	0.13028169014084506	0.3279765804127088	0.04972245535114438	-0.3193920683270123	-1.2175599850246386	95
Alanine, aspartate and glutamate metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.13124432334241598	0.3284901272096307	0.05827499240198549	0.396180708183568	1.2752216073857972	32
Amino acid transport across the plasma membrane | Reactome	0.2888427411742496	0.5560191360233652	0.033951289434096824	-0.4825535570887962	-1.1650691521843426	12
Amino acids regulate mTORC1 | Reactome	0.6868905742145178	0.9208161567643536	0.021179243520087026	0.29518853292695774	0.8463827201765417	20
Amino sugar and nucleotide sugar metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.12526614620298085	0.32285857920173044	0.05236484601420541	-0.4130172489538269	-1.2936743748556032	34
Aminoacyl-tRNA biosynthesis - Saccharomyces cerevisiae (budding yeast) | KEGG	0.7288588214349296	0.93119149492722475	0.017330048104637993	-0.26060385505901035	-0.8418250179333762	40
Antigen processing: Ubiquitination & Proteasome degradation | Reactome	0.13600969025783008	0.3327242705177425	0.04941265903593212	-0.3484984133651478	-1.2365776857024087	63
Apoptosis | Reactome	0.5957492029755579	0.8485506739750546	0.023120476971314738	0.36110062326824355	0.898640029602049	12
Arachidonic acid metabolism | Reactome	0.6518784217481594	0.898927887315137	0.019867863675000725	-0.35407515888424557	-0.8548730790826911	12
Arginine and proline metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.23054882080670047	0.4893511735750064	0.042221575978430986	0.3983621084268251	1.1804371758455408	23
Arginine biosynthesis - Saccharomyces cerevisiae (budding yeast) | KEGG	0.005421817393190197	0.03670673606754718	0.291090917251384	0.6413701677615776	1.7572508145318946	17
Ascorbate and aldarate metabolism - Saccharomyces cerevisiae (budding yeast) | KEGG	0.08293940696175334	0.2693943261774497	0.07204867664570204	0.5926384367067759	1.4341148014055032	11
Asparagine N-linked glycosylation | Reactome	0.8652674339878131	0.9994715457287435	0.014109106663511567	-0.21253691599517743	-0.7983270079618469	87
Association of TriC/CCT with target proteins during biosynthesis | Reactome	0.8651832460732984	0.9994715457287435	0.015548418739555838	-0.2893019975168264	-0.684798483705176	11
Autophagy - other - Saccharomyces cerevisiae (budding yeast) | KEGG	0.8183821908750275	0.9843319129135747	0.01877529265735886	0.2585821451181171	0.7662374775370516	23
Autophagy - yeast - Saccharomyces cerevisiae (budding yeast) | KEGG	0.756896551724138	0.933721387169663	0.021663153293956593	0.22172855997862734	0.8726961015417265	90
Autophagy | Reactome	0.2957427536231884	0.5560191360233652	0.03723145637617607	0.3341278410928007	1.1075228602003253	36
Axon guidance | Reactome	0.8371433969393539	0.9876923457077391	0.01617576792717861	-0.29195180991899017	-0.7193924071223046	13
Basal transcription factors - Saccharomyces cerevisiae (budding yeast) | KEGG	8.084698660208013e-6	2.5004817999071927e-4	0.5933254763964051	0.6750923700486158	2.1729790458862874	32
Base excision repair - Saccharomyces cerevisiae (budding yeast) | KEGG	0.12999814022689232	0.3279765804127088	0.052646390933726916	-0.49411195347578685	-1.3276430637967669	18
Bile acid and bile salt metabolism | Reactome	0.699641306399849	0.9230956914001888	0.018803475921146118	-0.33917941245746797	-0.8189090406756439	12
Biological oxidations | Reactome	0.05961580922941047	0.2264354859327608	0.08668875730780262	0.4784430864139699	1.4374589530529212	24
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein | Reactome	0.03147301006404392	0.1449767378482023	0.10921584776585129	-0.5437799251530103	-1.551737231061183	23
Biosynthesis of unsaturated fatty acids - Saccharomyces cerevisiae (budding yeast) | KEGG	0.02341262408690766	0.11264073588478908	0.12848971465340803	-0.6940261199596957	-1.5970524889233495	10
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA | Reactome	0.7484276729559748	0.933721387169663	0.019876655642957805	0.292844621105057	0.8023470295853282	17
CD28 co-stimulation | Reactome	0.9359828141783029	1	0.016420573597706142	0.23005028721928178	0.6223118695136453	16
CD28 dependent PI3K/Akt signaling | Reactome	0.7394261424017003	0.93119149492722475	0.019754137530781996	0.31847810923690734	0.7925690488206593	12
CDC42 GTPase cycle | Reactome	0.39890915930035736	0.6567591862245428	0.027810426366041672	-0.4114875893324609	-1.0538123111514426	15
CDK-mediated phosphorylation and removal of Cdc6 | Reactome	0.0030465329672388418	0.024428681015081825	0.4317076958033464	-0.7558345762627916	-1.789114407088045	11
COPI-dependent Golgi-to-ER retrograde traffic | Reactome	0.9309110434938249	1	0.013859952726834875	-0.21986131788504865	-0.668079045889916	30
COPI-mediated anterograde transport | Reactome	0.5562296858071506	0.8192090270561095	0.02455298634598186	0.3248164680733214	0.9313337583952196	20
COPII-mediated vesicle transport | Reactome	0.3857499432720672	0.6467630229626391	0.03188366936464157	0.3084753248557694	1.0427683100080607	39
