"#Data was processed in Genespring 11.5.1.  Note filtering was not the same for CSM data as for YPD data, so number of probes differs.  Also, fold changes are NOT log2."																							
	"gal11-myc med3? vs BY4741, YPD"				"gal11? med3? vs BY4741, YPD"					"gal11-myc med3? vs BY4741, CSM"					"gal11? med3? vs BY4741, CSM"					"BY4741 vs BY4742, YPD"			
Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change
RPTR-Sc-X58791-2_s_at	0.15028664	0.38339862	-1.2482978		RPTR-Sc-X58791-2_s_at	0.31264874	0.5181458	-1.16809		RPTR-Sc-X58791-2_s_at	0.64636505	0.78999966	-1.0370493		RPTR-Sc-X58791-2_s_at	0.42112637	0.6632681	-1.060978		RPTR-Sc-X58791-2_s_at	0.66929233	0.8414034	-1.0647691
RPTR-Sc-X58791-1_s_at	0.34368664	0.5897579	-1.1979151		RPTR-Sc-X58791-1_s_at	0.41425854	0.60787964	-1.1586558		RPTR-Sc-X58791-1_s_at	0.14640786	0.30945238	-1.074651		RPTR-Sc-X58791-1_s_at	0.5767842	0.77710176	1.0538766		RPTR-Sc-X58791-1_s_at	0.89659953	0.95290285	1.0253075
RPTR-Sc-X03453-1_at	0.14081201	0.36958453	-1.2600229		RPTR-Sc-X03453-1_at	0.20972984	0.40888995	-1.2123916		RPTR-Sc-X58791-1_at	0.4004738	0.59542555	-1.0975238		RPTR-Sc-X58791-1_at	0.6695719	0.8381588	1.0520263		RPTR-Sc-U89963-1_s_at	0.68963134	0.8530705	-1.026335
RPTR-Sc-U89963-1_s_at	0.57978344	0.77155507	1.0481485		RPTR-Sc-U89963-1_s_at	0.50203687	0.6815438	1.0419108		RPTR-Sc-X03453-1_at	0.40849128	0.60179204	1.0576518		RPTR-Sc-X03453-1_at	0.34575275	0.5949277	1.0928178		RPTR-Sc-U89963-1_at	0.51960003	0.75983834	-1.0967464
RPTR-Sc-U89963-1_at	0.26927507	0.51952755	-1.139427		RPTR-Sc-U57609-2_s_at	0.8736686	0.9317994	-1.0135287		RPTR-Sc-U89963-1_s_at	0.61269933	0.76669854	-1.0258529		RPTR-Sc-U89963-1_s_at	0.13181661	0.34993255	1.0724741		RPTR-Sc-U57609-2_s_at	0.42283115	0.6964055	-1.1123827
RPTR-Sc-U57609-2_s_at	0.04728045	0.20748912	-1.2372571		RPTR-Sc-U55943-1_at	0.45230252	0.63937914	-1.1623776		RPTR-Sc-U89963-1_at	0.3291587	0.5292244	-1.1128799		RPTR-Sc-U89963-1_at	0.9011636	0.9566656	-1.0127904		RPTR-Sc-U55943-1_at	0.7624182	0.89023125	-1.047391
RPTR-Sc-U55943-1_at	0.45801145	0.685101	-1.1683897		RPTR-Sc-U47295-1_at	0.964979	0.9812567	-1.0055901		RPTR-Sc-U57609-2_s_at	0.017246038	0.059944242	1.1181475		RPTR-Sc-U57609-2_s_at	0.43789348	0.67591393	-1.1036525		RPTR-Sc-U47295-1_at	0.8743142	0.94304264	1.0255286
RPTR-Sc-U47295-1_at	0.95554453	0.978433	-1.0138246		RPTR-Sc-U46493-1_s_at	0.24180463	0.4464435	-1.1433072		RPTR-Sc-U55943-1_at	0.9816189	0.99032366	1.0020281		RPTR-Sc-U55943-1_at	0.958752	0.9836862	-1.0063093		RPTR-Sc-U46493-1_s_at	0.82721335	0.9214568	-1.0174496
RPTR-Sc-U46493-1_s_at	0.043661218	0.19738723	-1.2592555		RPTR-Sc-U43284-1_s_at	0.41406113	0.60773855	-1.193415		RPTR-Sc-U47295-1_at	0.18802458	0.36806238	-1.1021371		RPTR-Sc-U47295-1_at	0.100353934	0.29401222	-1.1889623		RPTR-Sc-U43284-1_s_at	0.320648	0.62903255	-1.2517157
RPTR-Sc-U43284-1_s_at	0.61813504	0.796707	-1.1173333		RPTR-Sc-NM_131175-1_at	0.31597567	0.5215148	-1.1366177		RPTR-Sc-U46493-1_s_at	0.021571843	0.07143548	1.3423473		RPTR-Sc-U46493-1_s_at	0.013688329	0.073183	1.4916546		RPTR-Sc-NM_131175-1_at	0.47926775	0.7355823	-1.1035662
RPTR-Sc-NM_131175-1_at	0.1808138	0.4214701	-1.246041		RPTR-Sc-M62653-1_s_at	0.513979	0.6912617	1.0497403		RPTR-Sc-U43284-1_s_at	0.33046043	0.5304474	-1.0231279		RPTR-Sc-U43284-1_s_at	0.6083551	0.7997083	-1.012356		RPTR-Sc-M62653-1_s_at	0.8753337	0.9434152	-1.0159273
RPTR-Sc-M62653-1_s_at	0.80348355	0.90314955	-1.02148		RPTR-Sc-M62653-1_at	0.5242187	0.6991231	-1.0544131		RPTR-Sc-NM_131175-1_at	0.68229777	0.8139005	1.0768578		RPTR-Sc-NM_131175-1_at	0.5726372	0.77394265	-1.0695198		RPTR-Sc-M57289-1_s_at	0.6685646	0.84116447	1.1111429
RPTR-Sc-M62653-1_at	0.116019145	0.33283487	-1.1802788		RPTR-Sc-M57289-1_s_at	0.49257615	0.67362964	-1.1435219		RPTR-Sc-M62653-1_s_at	0.41453707	0.6072468	1.0422125		RPTR-Sc-M62653-1_s_at	0.3676129	0.61474216	-1.1014274		RPTR-Sc-M15077-1_s_at	0.710015	0.8630294	-1.0675528
RPTR-Sc-M57289-1_s_at	0.6796369	0.83334154	-1.101744		RPTR-Sc-M15077-1_s_at	0.39866573	0.59578544	-1.1722748		RPTR-Sc-M62653-1_at	0.9493393	0.9745036	-1.0071385		RPTR-Sc-M62653-1_at	0.41096085	0.65466183	-1.0951656		RPTR-Sc-M15077-1_at	0.9117824	0.95891094	-1.0089076
RPTR-Sc-M15077-1_s_at	0.8079519	0.90498066	-1.0574433		RPTR-Sc-M15077-1_at	0.77087593	0.87124765	1.0428152		RPTR-Sc-M57289-1_s_at	0.518865	0.69402164	-1.0558962		RPTR-Sc-M57289-1_s_at	0.4730076	0.7035028	-1.0420412		RPTR-Sc-M10961-1_at	0.022921147	0.5033901	1.1589292
RPTR-Sc-M15077-1_at	0.49900594	0.7145684	-1.0825673		RPTR-Sc-M10961-4_at	0.9466222	0.9725925	-1.0061511		RPTR-Sc-M15077-1_s_at	0.89751387	0.94489706	1.003533		RPTR-Sc-M15077-1_s_at	0.5564022	0.76386476	1.031046		RPTR-Sc-K01486-1_s_at	0.53323036	0.76734465	1.0466387
RPTR-Sc-K01486-1_s_at	0.54526824	0.74796045	1.2045574		RPTR-Sc-M10961-1_at	0.28805885	0.49329242	1.1043527		RPTR-Sc-M15077-1_at	0.36611706	0.5643853	-1.1136538		RPTR-Sc-M15077-1_at	0.94181216	0.977224	1.007246		RPTR-Sc-J01636-4_at	0.50365114	0.750359	1.1144079
