gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YAL001C	TFC3	3711.709608	0.010813587	0.14430536	-0.074935452	0.94026607	0.999020118	0.000425766
YAL002W	VPS8	3678.371812	-0.005784734	0.107700429	0.053711338	0.957165149	0.999020118	0.000425766
YAL003W	EFB1	8062.936704	0.034709429	0.202680652	-0.171251814	0.864025767	0.999020118	0.000425766
YAL005C	SSA1	22674.35876	0.206005031	0.234062313	-0.88012901	0.378789425	0.999020118	0.000425766
YAL008W	FUN14	3237.268957	-0.011061045	0.122278577	0.090457752	0.927923466	0.999020118	0.000425766
YAL012W	CYS3	6494.226749	-0.07148673	0.161146103	0.443614387	0.657321402	0.999020118	0.000425766
YAL013W	DEP1	3771.076468	-0.054491815	0.103576286	0.526103191	0.598816511	0.999020118	0.000425766
YAL014C	SYN8	2962.39388	-0.009376038	0.12004545	0.078104069	0.937745271	0.999020118	0.000425766
YAL015C	NTG1	3196.338811	0.010924807	0.123091141	-0.088753804	0.929277572	0.999020118	0.000425766
YAL016W	TPD3	6038.16983	0.034812449	0.149232912	-0.23327595	0.815547133	0.999020118	0.000425766
YAL017W	PSK1	6425.810599	0.162663914	0.173736267	-0.936269191	0.349134607	0.999020118	0.000425766
YAL019W	FUN30	3083.208237	-0.092405386	0.156508251	0.590418623	0.554910028	0.999020118	0.000425766
YAL021C	CCR4	3065.971729	-0.034877209	0.111842953	0.311840913	0.755161429	0.999020118	0.000425766
YAL022C	FUN26	2497.894946	0.181439103	0.094139916	-1.927334452	0.053937963	0.771591346	0.112612652
YAL023C	PMT2	2789.445955	0.140352225	0.084238618	-1.666126874	0.095688147	0.911495136	0.040245644
YAL025C	MAK16	3080.033872	0.228248178	0.181030028	-1.260830483	0.207369929	0.999020118	0.000425766
YAL026C	DRS2	6433.764916	0.036297903	0.162543406	-0.223312061	0.823292641	0.999020118	0.000425766
YAL029C	MYO4	3148.52308	-0.103597197	0.15041492	0.688742828	0.49098512	0.999020118	0.000425766
YAL031C	GIP4	4401.63527	-0.000502277	0.127069033	0.003952792	0.996846137	0.999714801	0.000123878
YAL032C	PRP45	2136.297346	-0.096482919	0.094602682	1.019875091	0.307787704	0.999020118	0.000425766
YAL034C	FUN19	9539.869108	-0.015461981	0.172186567	0.089797836	0.928447867	0.999020118	0.000425766
YAL035W	FUN12	6566.626893	-0.000232035	0.156585138	0.001481845	0.99881766	0.999714801	0.000123878
YAL036C	RBG1	3070.229499	0.013717946	0.186382063	-0.073601212	0.941327707	0.999020118	0.000425766
YAL038W	CDC19	126942.0841	0.09344414	0.186680885	-0.50055548	0.616684001	0.999020118	0.000425766
YAL039C	CYC3	3555.469488	0.122236461	0.147022903	-0.83141101	0.405741481	0.999020118	0.000425766
YAL040C	CLN3	3373.638529	0.000598376	0.280282935	-0.0021349	0.998296598	0.999714801	0.000123878
YAL041W	CDC24	2953.771191	0.092089109	0.0914002	-1.007537287	0.313676649	0.999020118	0.000425766
YAL042W	ERV46	5170.251304	-0.049312529	0.111965979	0.44042422	0.659629887	0.999020118	0.000425766
YAL043C	PTA1	3871.920178	-0.074987553	0.10335828	0.72551084	0.468138697	0.999020118	0.000425766
YAL044C	GCV3	4991.801916	0.210480766	0.138787519	-1.516568397	0.129375689	0.936945704	0.028285576
YAL048C	GEM1	2257.073107	-0.065615264	0.121207062	0.541348525	0.58826738	0.999020118	0.000425766
YAL049C	AIM2	2330.665973	-0.055406398	0.103701337	0.534288175	0.593142172	0.999020118	0.000425766
YAL051W	OAF1	3988.613123	-0.144519924	0.120371579	1.200615002	0.229900579	0.999020118	0.000425766
YAL053W	FLC2	9241.030391	-0.044687608	0.150993865	0.29595645	0.76726334	0.999020118	0.000425766
YAL054C	ACS1	2175.180972	-0.145585292	0.149934537	0.970992379	0.331552074	0.999020118	0.000425766
YAL056W	GPB2	6615.697127	0.008431855	0.087425475	-0.096446204	0.923166198	0.999020118	0.000425766
YAL060W	BDH1	6527.556729	-0.117096853	0.1805818	0.648442163	0.516699007	0.999020118	0.000425766
YAL061W	BDH2	31543.49693	-0.585928884	0.246716514	2.374907436	0.017553352	0.480990607	0.317863404
YAL062W	GDH3	13738.08421	-0.263628172	0.233045401	1.131230954	0.257957897	0.999020118	0.000425766
YAR002C-A	ERP1	2105.554278	0.028962658	0.100552401	-0.288035467	0.77331959	0.999020118	0.000425766
YAR002W	NUP60	2547.295733	0.037665525	0.093569072	-0.402542464	0.687284843	0.999020118	0.000425766
YAR014C	BUD14	4275.114451	-0.014893497	0.098499921	0.151203132	0.87981548	0.999020118	0.000425766
YAR015W	ADE1	3033.127863	-0.168115266	0.146159991	1.150213985	0.250055747	0.999020118	0.000425766
YAR019C	CDC15	2060.065551	-0.199551929	0.178668671	1.116882599	0.264044526	0.999020118	0.000425766
YAR027W	UIP3	3639.254823	-0.151675992	0.119881117	1.265220042	0.20579246	0.999020118	0.000425766
YAR028W	YAR028W	3009.477589	-0.091010695	0.120330077	0.756342028	0.449444156	0.999020118	0.000425766
YAR042W	SWH1	4163.508929	-0.046780971	0.170445569	0.274462814	0.783728977	0.999020118	0.000425766
YBL001C	ECM15	6757.922291	0.116210006	0.119398019	-0.973299282	0.330404579	0.999020118	0.000425766
YBL002W	HTB2	3656.053037	0.38357571	0.139509048	-2.749468342	0.005969203	0.307000696	0.51286064
YBL003C	HTA2	2892.30595	0.212725747	0.215453474	-0.987339601	0.323476183	0.999020118	0.000425766
YBL004W	UTP20	2746.198653	-0.199797652	0.141817451	1.408836859	0.158883413	0.960483275	0.017510193
YBL005W	PDR3	2433.350485	-0.075206767	0.148182825	0.507526884	0.611785178	0.999020118	0.000425766
YBL006C	LDB7	2688.87088	0.044441556	0.154304532	-0.288011992	0.773337559	0.999020118	0.000425766
YBL007C	SLA1	8389.833747	-0.087073417	0.108255502	0.804332487	0.421204981	0.999020118	0.000425766
YBL011W	SCT1	3731.854419	-0.056075911	0.18083027	0.310102454	0.756483046	0.999020118	0.000425766
YBL015W	ACH1	3847.99293	-0.250499384	0.167332671	1.497014202	0.134389563	0.941756255	0.026061487
YBL016W	FUS3	2230.305514	0.090240961	0.141717773	-0.6367653	0.524277732	0.999020118	0.000425766
YBL017C	PEP1	6084.35574	-0.097272051	0.092927481	1.046752265	0.295213852	0.999020118	0.000425766
YBL019W	APN2	2071.947772	-0.039415734	0.108627048	0.362853775	0.716714119	0.999020118	0.000425766
YBL020W	RFT1	2299.868873	0.000677384	0.136514729	-0.004961984	0.996040926	0.999714801	0.000123878
YBL022C	PIM1	6105.698305	0.107659857	0.090257165	-1.192812303	0.232942891	0.999020118	0.000425766
YBL024W	NCL1	2728.071859	0.144105365	0.188405535	-0.764867999	0.444350152	0.999020118	0.000425766
YBL027W	RPL19B	13138.50034	0.149803227	0.200656022	-0.746567308	0.455324788	0.999020118	0.000425766
YBL029C-A	YBL029C-A	2166.18928	-0.175819757	0.169985417	1.034322588	0.30098538	0.999020118	0.000425766
YBL029W	YBL029W	2182.498432	0.565912205	0.176501204	-3.206279571	0.001344633	0.183094907	0.737323735
YBL030C	PET9	12069.49453	-0.309093522	0.191825635	1.611325414	0.107108814	0.922847335	0.034870137
YBL033C	RIB1	10496.42757	0.245612837	0.126017237	-1.949041606	0.051290456	0.766585502	0.115439399
YBL036C	YBL036C	6904.051515	0.055207016	0.125089295	-0.441340852	0.658966255	0.999020118	0.000425766
YBL038W	MRPL16	2795.023495	-0.047128241	0.144385663	0.326405264	0.744117755	0.999020118	0.000425766
YBL039C	URA7	2863.959526	0.184084275	0.2602494	-0.707337941	0.479356493	0.999020118	0.000425766
YBL041W	PRE7	5682.600007	0.006102429	0.146609178	-0.041623787	0.96679861	0.999020118	0.000425766
YBL042C	FUI1	2468.144101	-0.357173464	0.33216114	1.075301776	0.282239641	0.999020118	0.000425766
YBL043W	ECM13	5530.087235	-0.300996271	0.204322437	1.473143504	0.140712345	0.941756255	0.026061487
YBL045C	COR1	11031.71066	-0.005153841	0.172518686	0.029874101	0.976167461	0.999020118	0.000425766
YBL047C	EDE1	8235.251495	0.107327941	0.142295759	-0.754259592	0.450693361	0.999020118	0.000425766
YBL048W	RRT1	3203.054667	0.28654062	0.140475365	-2.039792668	0.04137098	0.724100458	0.140201178
YBL049W	MOH1	10530.45172	0.054589425	0.110212412	-0.495311047	0.620380574	0.999020118	0.000425766
YBL050W	SEC17	5669.713884	-0.047397398	0.141128489	0.33584571	0.736987218	0.999020118	0.000425766
YBL051C	PIN4	3181.109858	-0.078866991	0.104409694	0.755360817	0.450032517	0.999020118	0.000425766
YBL054W	TOD6	4846.767039	-0.151816464	0.19404371	0.782382816	0.433989629	0.999020118	0.000425766
YBL055C	YBL055C	2401.203148	-0.320528811	0.177321738	1.807611491	0.070666988	0.823073331	0.08456147
YBL056W	PTC3	6416.232551	-0.125348477	0.082044931	1.527802823	0.126561501	0.936945704	0.028285576
YBL058W	SHP1	8632.379654	0.020232018	0.152920316	-0.13230432	0.894743591	0.999020118	0.000425766
YBL060W	YEL1	1985.794717	0.006323532	0.128539949	-0.049195068	0.960763842	0.999020118	0.000425766
YBL061C	SKT5	3195.295092	0.042960409	0.104362889	-0.411644502	0.680600008	0.999020118	0.000425766
YBL064C	PRX1	13950.14474	0.154445235	0.197794284	-0.780837709	0.434897952	0.999020118	0.000425766
YBL066C	SEF1	2251.327357	-0.14553673	0.097985144	1.485293828	0.137466006	0.941756255	0.026061487
YBL067C	UBP13	3278.246862	-0.127679567	0.159078011	0.802622352	0.422193045	0.999020118	0.000425766
YBL069W	AST1	3784.285357	-0.323977725	0.24118672	1.343265188	0.17918612	0.995048504	0.002155749
YBL071W-A	KTI11	2628.731645	0.03014413	0.126086405	-0.239075182	0.811047286	0.999020118	0.000425766
YBL072C	RPS8A	6537.485528	0.134672636	0.204237553	-0.659392133	0.509643992	0.999020118	0.000425766
YBL075C	SSA3	3363.313128	0.123138379	0.141124828	-0.872549366	0.38290875	0.999020118	0.000425766
YBL076C	ILS1	18047.23299	0.042487244	0.092897065	-0.457358297	0.647413534	0.999020118	0.000425766
YBL078C	ATG8	4505.779263	0.069592887	0.183872178	-0.37848514	0.70507023	0.999020118	0.000425766
YBL079W	NUP170	2366.321679	0.043678313	0.11541818	-0.378435293	0.705107254	0.999020118	0.000425766
YBL084C	CDC27	3413.27471	-0.159427901	0.121598014	1.311106125	0.189821912	0.999020118	0.000425766
YBL085W	BOI1	2663.325444	-0.222113031	0.138765655	1.600634038	0.109457999	0.93229411	0.030447059
YBL086C	YBL086C	3296.860563	0.083080864	0.261956692	-0.317154958	0.751126025	0.999020118	0.000425766
YBL087C	RPL23A	3845.783981	0.180574217	0.228149319	-0.791473839	0.428667536	0.999020118	0.000425766
YBL088C	TEL1	2117.827904	0.0707209	0.133122599	-0.531246392	0.595248049	0.999020118	0.000425766
YBL091C	MAP2	6159.680086	0.055993792	0.102157562	-0.548112059	0.583614961	0.999020118	0.000425766
YBL092W	RPL32	9249.179152	0.160802885	0.231652164	-0.694156628	0.487583989	0.999020118	0.000425766
YBL093C	ROX3	10071.5833	0.034149071	0.237867653	-0.143563324	0.885845303	0.999020118	0.000425766
YBL095W	MRX3	3074.408561	-0.043103785	0.156067504	0.276186804	0.782404592	0.999020118	0.000425766
YBL098W	BNA4	2961.741004	0.149829079	0.177867425	-0.842363794	0.399584353	0.999020118	0.000425766
YBL099W	ATP1	14880.32111	-0.063024884	0.123419658	0.51065515	0.609592551	0.999020118	0.000425766
YBL101C	ECM21	4837.405411	-0.174135713	0.168824307	1.031461144	0.302324621	0.999020118	0.000425766
