gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YAL001C	TFC3	3711.709608	0.268813436	0.144315505	1.86267883	0.062507466	0.128811093	0.890046734
YAL002W	VPS8	3678.371812	-0.156380222	0.107395766	-1.456111604	0.14536177	0.252736434	0.597332146
YAL003W	EFB1	8062.936704	0.204183726	0.202677382	1.007432226	0.313727111	0.455684762	0.341335494
YAL004W	YAL004W	3.415754333	0.362181548	0.322460308	1.123181798	0.261360291	0.397343666	0.400833706
YAL005C	SSA1	22674.35876	-0.074014464	0.234057417	-0.316223535	0.751832845	0.839674077	0.075889255
YAL007C	ERP2	744.1084943	-0.473822914	0.115648575	-4.097092545	4.18E-05	0.000224459	3.648862637
YAL008W	FUN14	3237.268957	-0.324494937	0.121864997	-2.662741114	0.007750702	0.022958089	1.639064261
YAL009W	SPO7	1572.320434	0.28749769	0.133209536	2.158236556	0.030909445	0.073298247	1.134906409
YAL010C	MDM10	1130.669532	-0.120164403	0.106810344	-1.125025897	0.26057806	0.39643343	0.40182973
YAL011W	SWC3	1847.199539	0.356712905	0.11824316	3.01677413	0.002554801	0.008859104	2.052610204
YAL012W	CYS3	6494.226749	0.143532402	0.161096946	0.890969108	0.372945743	0.517904727	0.285750125
YAL013W	DEP1	3771.076468	0.247684649	0.103522028	2.392579184	0.016730418	0.044174256	1.354830755
YAL014C	SYN8	2962.39388	0.358374032	0.120122922	2.98339423	0.002850705	0.009708577	2.012844418
YAL015C	NTG1	3196.338811	-0.045491152	0.12288467	-0.370193878	0.711238038	0.810396224	0.091302591
YAL016C-A	YAL016C-A	14.14869457	-0.634678081	0.351728626	-1.804453873	0.071160184	0.142694664	0.845592267
YAL016C-B	YAL016C-B	0.64639945	-0.088805807	0.115985137	-0.765665404	0.443875417	0.588534489	0.230228082
YAL016W	TPD3	6038.16983	0.031075687	0.149173874	0.208318566	0.834980236	0.895500068	0.047934377
YAL017W	PSK1	6425.810599	-0.131505461	0.173686579	-0.757142332	0.448964595	0.593945609	0.226253324
YAL018C	LDS1	45.90558004	-3.766900072	0.3248192	-11.59691321	4.27E-31	4.07E-29	28.39022467
YAL019W	FUN30	3083.208237	-0.299312471	0.156174055	-1.916531339	0.055297498	0.117040772	0.931662823
YAL019W-A	YAL019W-A	4.465910907	-0.056143237	0.337552116	-0.166324649	0.867901469	0.91833179	0.037000381
YAL020C	ATS1	1758.460541	-0.351913029	0.124131675	-2.834997827	0.0045826	0.014747253	1.83128886
YAL021C	CCR4	3065.971729	-0.105785853	0.111516207	-0.948614152	0.342816891	0.486808998	0.312641403
YAL022C	FUN26	2497.894946	0.77157978	0.095191822	8.10552591	5.25E-16	1.42E-14	13.84644894
YAL023C	PMT2	2789.445955	-0.960555859	0.083035691	-11.56798781	5.99E-31	5.62E-29	28.2499955
YAL024C	LTE1	466.5419767	-1.394170204	0.236170071	-5.903246756	3.56E-09	3.92E-08	7.407252112
YAL025C	MAK16	3080.033872	-0.025837618	0.181005186	-0.142745182	0.886491432	0.930378902	0.031340147
YAL026C	DRS2	6433.764916	-0.052142842	0.162474616	-0.320929162	0.748264074	0.837420042	0.077056649
YAL026C-A	YAL026C-A	478.5006708	-0.055451167	0.1935008	-0.286568155	0.774443001	0.855782624	0.067636536
YAL027W	SAW1	1028.565533	0.271760416	0.145459843	1.868284819	0.061722382	0.127481731	0.894552048
YAL028W	FRT2	1363.975426	0.054735662	0.223041936	0.245405251	0.806142664	0.875150339	0.057917335
YAL029C	MYO4	3148.52308	0.372087767	0.150419824	2.473661768	0.013373624	0.036835724	1.433730788
YAL030W	SNC1	1641.705732	0.167904351	0.15479432	1.084693231	0.278057547	0.416278794	0.380615712
YAL031C	GIP4	4401.63527	0.251166691	0.127063833	1.976696956	0.048075895	0.104944384	0.979040797
YAL031W-A	YAL031W-A	8.265791286	-0.238589578	0.373352923	-0.639045695	0.522793206	0.660039912	0.180429803
YAL032C	PRP45	2136.297346	0.422561005	0.094708223	4.461713994	8.13E-06	4.99E-05	4.301484122
YAL033W	POP5	459.532536	-0.033883107	0.163107574	-0.207734722	0.835436105	0.895544392	0.047912881
YAL034C	FUN19	9539.869108	-0.24697277	0.172108298	-1.434984673	0.151291465	0.260707255	0.583846883
YAL034C-B	YAL034C-B	2.499184697	-0.397336282	0.303392479	-1.309644469	0.190316138	0.311751934	0.506190844
YAL034W-A	MTW1	240.917179	-0.443145103	0.184983873	-2.395587766	0.016593741	0.043931387	1.357225083
YAL035W	FUN12	6566.626893	0.170970621	0.156561397	1.092035612	0.274817448	0.412289788	0.384797422
YAL036C	RBG1	3070.229499	0.025559833	0.18628834	0.137205757	0.890868161	0.932939425	0.030146554
YAL037C-A	YAL037C-A	136.573159	-0.678146519	0.218813428	-3.099199742	0.001940442	0.006963456	2.157175168
YAL037C-B	YAL037C-B	51.82714655	2.109873102	0.312448721	6.752702	1.45E-11	2.30E-10	9.638363562
YAL037W	YAL037W	1332.821409	-0.423361846	0.137101152	-3.087952504	0.002015407	0.007196612	2.14287189
YAL038W	CDC19	126942.0841	1.833946487	0.18671206	9.822324758	9.02E-23	4.18E-21	20.37909598
YAL039C	CYC3	3555.469488	0.146283887	0.147026922	0.994946266	0.319762399	0.462584846	0.334808599
YAL040C	CLN3	3373.638529	0.445182293	0.280312001	1.588167083	0.112248562	0.206027452	0.686074909
YAL041W	CDC24	2953.771191	-0.004573164	0.091210947	-0.050138326	0.960012158	0.97610321	0.010504259
YAL042C-A	YAL042C-A	94.82262932	-2.681511288	0.225562475	-11.88810898	1.36E-32	1.45E-30	29.83867843
